"prefix","assembly"
"event.action","event-action"
"monitor.manager","monitor-manager"
"muting.schedule","monitor-manager"
"slo.manager","monitor-manager"
"training.sagemaker","analytics"
"analytics","analytics"
"billPartner","bill"
"heroku","bill"
"registration.manager","admiral"
"org.service","org-service"
"cloudquery-inventory","cloudquery-inventory-manager"
"open.receiver","open-receiver"
"open-receiver","open-receiver"
"otrm","otrm-service"
"quota.enforcer","quota-enforcer"
"dsh.daemon_operation_options","dsh_logs"
"entities","entity-query"
"ingest.router","ingest-router"
"kafkaManager","kafka-manager"
"kafka.manager","kafka-manager"
"log.enricher","log-enricher"
"service.registry","service_registry"
"metrics.query","metricsquery"
"metrics-in-memory","metrics-in-memory"
"metrics-shards-exporter","metrics-shards-exporter"
"health.tracker","health-tracker"
"katta-helper","katta"
"katta-cold","katta"
"katta-lru","katta"
"light.ingest","light-ingest"
"shard.batcher","shard-batcher"
"shard.compactor","shard-compactor"
"view.metrics","view-metrics"
